numinscription,codefiliere,codemodule,codeeltmodule,numsession,note
EtudLPGLAASRI013,LPGLAASRI,M06,M06B,1,18.98
EtudLPGLAASRI013,LPGLAASRI,M07,M07A,1,11.88
EtudLPGLAASRI013,LPGLAASRI,M07,M07B,1,14.39
EtudLPGLAASRI013,LPGLAASRI,M08,M08A,1,0.95
EtudLPGLAASRI013,LPGLAASRI,M08,M08B,1,8.75
EtudLPGLAASRI013,LPGLAASRI,M09,M09A,1,1.19
EtudLPGLAASRI013,LPGLAASRI,M09,M09B,1,9.71
EtudLPGLAASRI013,LPGLAASRI,M10-11-12,M10A,1,9.18
EtudLPGLAASRI013,LPGLAASRI,M10-11-12,M10B,1,1.02
EtudLPGLAASRI013,LPGLAASRI,M10-11-12,M10C,1,16.23
EtudLPGLAASRI014,LPGLAASRI,M01,M01A,1,10.21
EtudLPGLAASRI014,LPGLAASRI,M01,M01B,1,0.92
EtudLPGLAASRI014,LPGLAASRI,M02,M02A,1,4.46
EtudLPGLAASRI014,LPGLAASRI,M02,M02B,1,17.11
EtudLPGLAASRI014,LPGLAASRI,M03,M03A,1,2.58
EtudLPGLAASRI014,LPGLAASRI,M03,M03B,1,3.73
EtudLPGLAASRI014,LPGLAASRI,M04,M04A,1,9.57
EtudLPGLAASRI014,LPGLAASRI,M04,M04B,1,5.68
EtudLPGLAASRI014,LPGLAASRI,M05,M05A,1,8.18
EtudLPGLAASRI014,LPGLAASRI,M05,M05B,1,5.94
EtudLPGLAASRI014,LPGLAASRI,M06,M06A,1,12.62
EtudLPGLAASRI014,LPGLAASRI,M06,M06B,1,6.46
EtudLPGLAASRI014,LPGLAASRI,M07,M07A,1,10.93
EtudLPGLAASRI014,LPGLAASRI,M07,M07B,1,14.82
EtudLPGLAASRI014,LPGLAASRI,M08,M08A,1,16.9
EtudLPGLAASRI014,LPGLAASRI,M08,M08B,1,17.24
EtudLPGLAASRI014,LPGLAASRI,M09,M09A,1,13.03
EtudLPGLAASRI014,LPGLAASRI,M09,M09B,1,17.35
EtudLPGLAASRI014,LPGLAASRI,M10-11-12,M10A,1,19.67
EtudLPGLAASRI014,LPGLAASRI,M10-11-12,M10B,1,14.87
EtudLPGLAASRI014,LPGLAASRI,M10-11-12,M10C,1,9
EtudLPGLAASRI015,LPGLAASRI,M01,M01A,1,3.34
EtudLPGLAASRI015,LPGLAASRI,M01,M01B,1,7.53
EtudLPGLAASRI015,LPGLAASRI,M02,M02A,1,0.96
EtudLPGLAASRI015,LPGLAASRI,M02,M02B,1,0.09
EtudLPGLAASRI015,LPGLAASRI,M03,M03A,1,4.82
EtudLPGLAASRI015,LPGLAASRI,M03,M03B,1,8.41
EtudLPGLAASRI015,LPGLAASRI,M04,M04A,1,4.31
EtudLPGLAASRI015,LPGLAASRI,M04,M04B,1,13
EtudLPGLAASRI015,LPGLAASRI,M05,M05A,1,14.37
EtudLPGLAASRI015,LPGLAASRI,M05,M05B,1,18.79
EtudLPGLAASRI015,LPGLAASRI,M06,M06A,1,3.66
EtudLPGLAASRI015,LPGLAASRI,M06,M06B,1,3.75
EtudLPGLAASRI015,LPGLAASRI,M07,M07A,1,4.57
EtudLPGLAASRI015,LPGLAASRI,M07,M07B,1,18.11
EtudLPGLAASRI015,LPGLAASRI,M08,M08A,1,5.18
EtudLPGLAASRI015,LPGLAASRI,M08,M08B,1,19.69
EtudLPGLAASRI015,LPGLAASRI,M09,M09A,1,8.39
EtudLPGLAASRI015,LPGLAASRI,M09,M09B,1,2.37
EtudLPGLAASRI015,LPGLAASRI,M10-11-12,M10A,1,3.1
EtudLPGLAASRI015,LPGLAASRI,M10-11-12,M10B,1,0.97
EtudLPGLAASRI015,LPGLAASRI,M10-11-12,M10C,1,14.75
EtudGI1002,GI,M01,M01C,1,5.82
EtudLPGLAASRI016,LPGLAASRI,M01,M01A,1,14.18
EtudLPGLAASRI016,LPGLAASRI,M01,M01B,1,6.6
EtudLPGLAASRI016,LPGLAASRI,M02,M02A,1,12.99
EtudLPGLAASRI016,LPGLAASRI,M02,M02B,1,5.95
EtudLPGLAASRI016,LPGLAASRI,M03,M03A,1,12.05
EtudLPGLAASRI016,LPGLAASRI,M03,M03B,1,8.87
EtudLPGLAASRI016,LPGLAASRI,M04,M04A,1,9.72
EtudLPGLAASRI016,LPGLAASRI,M04,M04B,1,15.78
EtudLPGLAASRI016,LPGLAASRI,M05,M05A,1,5.84
EtudLPGLAASRI016,LPGLAASRI,M05,M05B,1,10.8
EtudLPGLAASRI016,LPGLAASRI,M06,M06A,1,6.35
EtudLPGLAASRI016,LPGLAASRI,M06,M06B,1,12.42
EtudLPGLAASRI016,LPGLAASRI,M07,M07A,1,14.42
EtudLPGLAASRI016,LPGLAASRI,M07,M07B,1,7.63
EtudLPGLAASRI016,LPGLAASRI,M08,M08A,1,19.27
EtudLPGLAASRI016,LPGLAASRI,M08,M08B,1,14.75
EtudLPGLAASRI016,LPGLAASRI,M09,M09A,1,14.26
EtudLPGLAASRI016,LPGLAASRI,M09,M09B,1,15.46
EtudLPGLAASRI016,LPGLAASRI,M10-11-12,M10A,1,10.87
EtudLPGLAASRI016,LPGLAASRI,M10-11-12,M10B,1,0.41
EtudLPGLAASRI016,LPGLAASRI,M10-11-12,M10C,1,0.84
EtudLPGLAASRI017,LPGLAASRI,M01,M01A,1,10.05
EtudLPGLAASRI017,LPGLAASRI,M01,M01B,1,1.62
EtudLPGLAASRI017,LPGLAASRI,M02,M02A,1,7.64
EtudLPGLAASRI017,LPGLAASRI,M02,M02B,1,18.09
EtudLPGLAASRI017,LPGLAASRI,M03,M03A,1,14.19
EtudLPGLAASRI017,LPGLAASRI,M03,M03B,1,6.71
EtudLPGLAASRI017,LPGLAASRI,M04,M04A,1,10.63
EtudLPGLAASRI017,LPGLAASRI,M04,M04B,1,11.45
EtudLPGLAASRI017,LPGLAASRI,M05,M05A,1,14.03
EtudLPGLAASRI017,LPGLAASRI,M05,M05B,1,1.65
EtudLPGLAASRI017,LPGLAASRI,M06,M06A,1,10.97
EtudLPGLAASRI017,LPGLAASRI,M06,M06B,1,8.55
EtudLPGLAASRI017,LPGLAASRI,M07,M07A,1,19.02
EtudLPGLAASRI017,LPGLAASRI,M07,M07B,1,9.13
EtudLPGLAASRI017,LPGLAASRI,M08,M08A,1,9.2
EtudLPGLAASRI017,LPGLAASRI,M08,M08B,1,4.86
EtudLPGLAASRI017,LPGLAASRI,M09,M09A,1,14.86
EtudLPGLAASRI017,LPGLAASRI,M09,M09B,1,7.11
EtudLPGLAASRI017,LPGLAASRI,M10-11-12,M10A,1,15.16
EtudLPGLAASRI017,LPGLAASRI,M10-11-12,M10B,1,11.98
EtudLPGLAASRI017,LPGLAASRI,M10-11-12,M10C,1,11.39
EtudLPGLAASRI018,LPGLAASRI,M01,M01A,1,19.39
EtudLPGLAASRI018,LPGLAASRI,M01,M01B,1,9.01
EtudLPGLAASRI018,LPGLAASRI,M02,M02A,1,0.91
EtudLPGLAASRI018,LPGLAASRI,M02,M02B,1,6.5
EtudLPGLAASRI018,LPGLAASRI,M03,M03A,1,19.41
EtudLPGLAASRI018,LPGLAASRI,M03,M03B,1,16.22
EtudLPGLAASRI018,LPGLAASRI,M04,M04A,1,4.25
EtudLPGLAASRI018,LPGLAASRI,M04,M04B,1,18.6
EtudLPGLAASRI018,LPGLAASRI,M05,M05A,1,15.48
EtudLPGLAASRI018,LPGLAASRI,M05,M05B,1,6.22
EtudLPGLAASRI018,LPGLAASRI,M06,M06A,1,8.01
EtudLPGLAASRI018,LPGLAASRI,M06,M06B,1,10.52
EtudLPGLAASRI018,LPGLAASRI,M07,M07A,1,0.53
EtudLPGLAASRI018,LPGLAASRI,M07,M07B,1,9.13
EtudLPGLAASRI018,LPGLAASRI,M08,M08A,1,8.44
EtudLPGLAASRI018,LPGLAASRI,M08,M08B,1,10.8
EtudLPGLAASRI018,LPGLAASRI,M09,M09A,1,7.99
EtudLPGLAASRI018,LPGLAASRI,M09,M09B,1,18.65
EtudLPGLAASRI018,LPGLAASRI,M10-11-12,M10A,1,1.53
EtudLPGLAASRI018,LPGLAASRI,M10-11-12,M10B,1,18.84
EtudLPGLAASRI018,LPGLAASRI,M10-11-12,M10C,1,2.7
EtudLPGLAASRI019,LPGLAASRI,M01,M01A,1,16.76
EtudLPGLAASRI019,LPGLAASRI,M01,M01B,1,14.89
EtudLPGLAASRI019,LPGLAASRI,M02,M02A,1,0.77
EtudLPGLAASRI019,LPGLAASRI,M02,M02B,1,2.33
EtudLPGLAASRI019,LPGLAASRI,M03,M03A,1,2.67
EtudLPGLAASRI019,LPGLAASRI,M03,M03B,1,5.18
EtudLPGLAASRI019,LPGLAASRI,M04,M04A,1,5.16
EtudLPGLAASRI019,LPGLAASRI,M04,M04B,1,13.28
EtudLPGLAASRI019,LPGLAASRI,M05,M05A,1,1.63
EtudLPGLAASRI019,LPGLAASRI,M05,M05B,1,10.97
EtudLPGLAASRI019,LPGLAASRI,M06,M06A,1,3.15
EtudLPGLAASRI019,LPGLAASRI,M06,M06B,1,10.28
